gene,p-value,chrom
TRIM33,0.154,chr1
DENND2C,0.344,chr1
CSDE1,0.713,chr1
SIKE1,0.235,chr1
TSPAN2,0,chr1
NGF-AS1,0.487,chr1
NGF,0.453,chr1
SLC22A15,0.345,chr1
ATP1A1,0.816,chr1
FBXO44,0.857,chr1
PTGFRN,0.00508,chr1
MAN1A2,0.794,chr1
TENT5C,0.715,chr1
GDAP2,0.984,chr1
C1orf167,0.021,chr1
MTHFR,0.372,chr1
WDR3,0.209,chr1
CLCN6,0.706,chr1
TBX15,0.617,chr1
WARS2,0.101,chr1
PLOD1,0.562,chr1
ZNF697,0.564,chr1
TNFRSF1B,0.255,chr1
VPS13D,0.575,chr1
DHRS3,0.0572,chr1
SELP,0.354,chr1
C1orf112,0.768,chr1
SELL,0.714,chr1
MFAP2,0.585,chr1
METTL18,0.484,chr1
SCYL3,0.0311,chr1
ATP13A2,0.35,chr1
KIFAP3,0.0456,chr1
GORAB-AS1,0.177,chr1
GORAB,0.802,chr1
PRRX1,0.738,chr1
FMO4,0.711,chr1
PRRC2C,0.154,chr1
VAMP4,0.225,chr1
DNM3OS,0.658,chr1
DNM3,0.915,chr1
CDK11A,0.962,chr1
SLC35E2A,0.0134,chr1
TNFSF4,0,chr1
PRDX6,0,chr1
CENPL,0.663,chr1
RABGAP1L,0.00119,chr1
MRPS14,0.195,chr1
KIAA0040,0,chr1
"NADK",0.152,chr1
ARHGEF10L,0.462,chr1
PDPN,0.563,chr1
PRDM2,0.0448,chr1
PRKAB2,0.911,chr1
FMO5,0.408,chr1
CHD1L,0.0788,chr1
LINC00624,0.104,chr1
BCL9,0.877,chr1
ANP32E,0.856,chr1
CIART,0.237,chr1
MRPS21,0.883,chr1
RPRD2,0.566,chr1
ECM1,0.236,chr1
ADAMTSL4-AS2,0.75,chr1
ADAMTSL4,0.71,chr1
MCL1,0.471,chr1
ENSA,0.574,chr1
GOLPH3L,0.14,chr1
CTSS,0.209,chr1
ARNT,0.636,chr1
SETDB1,0.156,chr1
CERS2,0.363,chr1
GABPB2,0.661,chr1
SNX27,0.506,chr1
RORC,0.814,chr1
C2CD4D-AS1,0.14,chr1
THEM5,0.0378,chr1
TPM3,0.369,chr1
C1orf43,0.0317,chr1
UBAP2L,0.086,chr1
HAX1,0.223,chr1
EFHD2,0.76,chr1
ADAR,0.908,chr1
ADAM15,0.764,chr1
EFNA3,0.98,chr1
EFNA1,0.841,chr1
KRTCAP2,0.00291,chr1
GBAP1,0.122,chr1
GBA,0.879,chr1
FAM189B,0.00346,chr1
SCAMP3,0.438,chr1
HCN3,0.0128,chr1
FDPS,0.0885,chr1
YY1AP1,0.393,chr1
DAP3,0.0482,chr1
GON4L,0.0368,chr1
SYT11,0.83,chr1
RIT1,0.455,chr1
LOC107985208,0.0169,chr1
ARHGEF2,0.0138,chr1
UBQLN4,0.648,chr1
SMG5,0.421,chr1
GLMP,0.335,chr1
TMEM79,0.288,chr1
IQGAP3,0.0178,chr1
PRCC,0.329,chr1
ARHGEF11,0.0188,chr1
IFI16,0.00272,chr1
SPEN,0.43,chr1
SNHG28,0,chr1
SLAMF8,0,chr1
LOC107985216,0.425,chr1
VSIG8,0.43,chr1
KCNJ10,0.138,chr1
PIGM,0.15,chr1
USF1,0.417,chr1
NDUFS2,0.157,chr1
ATF6,0.0073,chr1
UHMK1,0.176,chr1
UAP1,0.758,chr1
HSD17B7,0.379,chr1
RGS5,0,chr1
NUF2,0.0872,chr1
PBX1,0.456,chr1
MGST3,0.504,chr1
ALDH9A1,0.0861,chr1
UCK2,0.0821,chr1
POGK,0.936,chr1
TADA1,0.551,chr1
LOC107985224,1.9e-05,chr1
CREG1,1.9e-05,chr1
RCSD1,0.504,chr1
DCAF6,0.144,chr1
GPR161,0.0778,chr1
TBX19,0.954,chr1
DPT,0.604,chr1
BLZF1,0.085,chr1
F5,0.0932,chr1
GAS5,0.346,chr1
RCC2,0.00172,chr1
CRYZL2P-SEC16B,0.117,chr1
SEC16B,0.0485,chr1
GNB1,0.81,chr1
ABL2,0.77,chr1
SOAT1,0.367,chr1
TOR1AIP2,0.85,chr1
TOR1AIP1,0.465,chr1
CEP350,0.129,chr1
XPR1,0.904,chr1
KIAA1614,0.857,chr1
KIAA1614-AS1,0.547,chr1
STX6,0.00952,chr1
MR1,0.116,chr1
GLUL,0.384,chr1
NPL,0.259,chr1
DHX9,0.866,chr1
LAMC1,0.0124,chr1
COLGALT2,0,chr1
LOC107985236,0.68,chr1
C1orf21,0.69,chr1
EDEM3,0.356,chr1
NIBAN1,0.401,chr1
IVNS1ABP,0,chr1
PRG4,0,chr1
TPR,0.556,chr1
ODR4,0.407,chr1
PTGS2,0.232,chr1
UBR4,0.707,chr1
EMC1-AS1,0.0116,chr1
EMC1,0.00744,chr1
LOC105371664,0.0651,chr1
LOC105371665,0.0688,chr1
MRTO4,0.00644,chr1
RO60,0.333,chr1
AKR7A2,0.475,chr1
MICOS10-NBL1,0.674,chr1
NBL1,0.667,chr1
KCNT2,0.1047,chr1
CFH,0,chr1
ASPM,0.629,chr1
ZBTB41,0.892,chr1
TMCO4,0.236,chr1
NEK7,0.767,chr1
PLA2G2A,0.00032,chr1
CAMSAP2,0.21,chr1
TMEM9,0.73,chr1
CSRP1-AS1,0.762,chr1
RPS10P7,0.0271,chr1
IPO9-AS1,0.168,chr1
"NAV1",0.177,chr1
IPO9,0.346,chr1
SHISA4,0.995,chr1
RNPEP,0.0242,chr1
ELF3-AS1,0.0173,chr1
TMEM183A,0.734,chr1
PRELP,0.0146,chr1
SOX13,0.23,chr1
MDM4,0.178,chr1
NFASC,0.524,chr1
RBBP5,0.0362,chr1
DSTYK,0.86,chr1
ELK4,0.413,chr1
PRKCZ,0.639,chr1
NUCKS1,0.932,chr1
RAB29,0.119,chr1
SLC41A1,0.134,chr1
CDA,0.59,chr1
PINK1-AS,0.00879,chr1
PINK1,0.0023,chr1
SRGAP2,0.151,chr1
IKBKE,0.294,chr1
EIF2D,0.0302,chr1
RASSF5,0.0269,chr1
HP1BP3,0.0728,chr1
CD46,0.307,chr1
MIR29B2CHG,0.408,chr1
CD34,0.494,chr1
LAMB3,3e-06,chr1
C1orf74,0.138,chr1
UTP25,0.432,chr1
HHAT,0.384,chr1
TRAF5,0.197,chr1
LINC00467,0.0672,chr1
SLC30A1,0.666,chr1
LPGAT1,0.726,chr1
ECE1,0.327,chr1
PPP2R5A,0.681,chr1
NENF,0.38,chr1
TATDN3,0.151,chr1
FLVCR1,0.845,chr1
ANGEL2,0.297,chr1
RPS6KC1,0.0452,chr1
PTPN14,0.956,chr1
NBPF3,0.00232,chr1
RAP1GAP,0.594,chr1
USP48,0.112,chr1
HSPG2,0.93,chr1
EPRS1,0.149,chr1
IARS2,0.145,chr1
DUSP10,0.581,chr1
LINC02257,0.254,chr1
PAPPA2,0.0196,chr1
RALGPS2,0.0657,chr1
FAM20B,0.972,chr1
TOR3A,0.864,chr1
QSOX1,0.029,chr1
ARPC5,0.697,chr1
RGL1,0.182,chr1
HHIPL2,0.0516,chr1
TLR5,0.517,chr1
CAPN2,0.505,chr1
TP53BP2,0.263,chr1
DEGS1,0.117,chr1
NVL,0.925,chr1
CNIH4,0.725,chr1
WDR26,0.0833,chr1
ZBTB40,0.317,chr1
EPHX1,0.343,chr1
LEFTY1,0.245,chr1
PYCR2,0.226,chr1
ACBD3,0.346,chr1
PSEN2,0.305,chr1
COQ8A,0.453,chr1
CDC42BPA,0.179,chr1
ARF1,0.793,chr1
GUK1,0.277,chr1
IBA57,0.854,chr1
RHOU,0.0686,chr1
RAB4A,0.164,chr1
CCSAP,0.753,chr1
NUP133,0.29,chr1
ABCB10,0.896,chr1
TAF5L,0.375,chr1
URB2,0.156,chr1
COG2,0.224,chr1
AGT,0.159,chr1
KDM1A,0.206,chr1
LUZP1,0.67,chr1
SKI,0.608,chr1
TTC13,0.924,chr1
GNPAT,0.709,chr1
SPRTN,0.00456,chr1
DISC1,0.834,chr1
NTPCR,0.323,chr1
PCNX2,0.643,chr1
HNRNPR,0.972,chr1
ZNF436,0.687,chr1
KCNK1,0.427,chr1
TARBP1,0.00114,chr1
IRF2BP2,0.45,chr1
B3GALNT2,0.0536,chr1
ID3,0.0181,chr1
GPR137B,0.0183,chr1
ERO1B,0.0243,chr1
EDARADD,0.362,chr1
HEATR1,0.357,chr1
MTR,0.516,chr1
LOC105373218,0.17,chr1
RPL11,0.579,chr1
ELOA-AS1,0.105,chr1
ELOA,0.0934,chr1
RER1,0.206,chr1
PNRC2,0.119,chr1
SRSF10,0.839,chr1
IFNLR1,0.104,chr1
CHML,0.262,chr1
OPN3,0.262,chr1
SDCCAG8,0.516,chr1
AKT3,0.47,chr1
GRHL3,0.587,chr1
STPG1,0.599,chr1
NIPAL3,0.192,chr1
HNRNPU,0.298,chr1
EFCAB2,0.995,chr1
NCMAP,1e-06,chr1
ZNF670-ZNF695,0.00301,chr1
ZNF670,0.003,chr1
LOC112268259,0.549,chr1
ZNF496,0.327,chr1
CLIC4,0.156,chr1
SH3BP5L,0.61,chr1
LDLRAP1,0.106,chr1
ZNF593,0.243,chr1
CEP85,0.382,chr1
UBXN11,0.268,chr1
DHDDS,0.033,chr1
RPS6KA1,0.62,chr1
ARID1A,0.493,chr1
PIGV,0.0209,chr1
ZDHHC18,0.148,chr1
GPN2,0.786,chr1
NUDC,0.543,chr1
DNAJC8,0.617,chr1
ATP5IF1,0.681,chr1
SRSF4,0.188,chr1
SDC3,0.619,chr1
HCRTR1,0.21,chr1
PEF1,0.216,chr1
COL16A1,0.42,chr1
KPNA6,0.6,chr1
S100PBP,0.115,chr1
TRIM62,0.832,chr1
ZNF362,0.723,chr1
PHC2,0.122,chr1
ZSCAN20,0.364,chr1
SMIM12,0.75,chr1
MEGF6,0.613,chr1
SFPQ,0.942,chr1
KIAA0319L,0.389,chr1
NCDN,0.169,chr1
PSMB2,0.44,chr1
C1orf216,0.961,chr1
AGO4,0.107,chr1
AGO1,0.877,chr1
AGO3,0.955,chr1
ADPRS,0.772,chr1
COL8A2,0.0857,chr1
THRAP3,0.212,chr1
TPRG1L,0.979,chr1
SH3D21,0.537,chr1
EVA1B,0.361,chr1
TP73-AS1,0.546,chr1
CCDC27,0.189,chr1
C1orf109,0.97,chr1
CDCA8,0.336,chr1
YRDC,0.109,chr1
LRRC47,0.65,chr1
MTF1,0.198,chr1
FHL3,0.162,chr1
DFFB,0.325,chr1
C1orf174,0.0973,chr1
NDUFS5,0.238,chr1
PABPC4,0.96,chr1
PABPC4-AS1,0.744,chr1
PPIE,0.937,chr1
TRIT1,0.4,chr1
RLF,0.798,chr1
EXO5,0.91,chr1
SLFNL1-AS1,0.495,chr1
SCMH1,0.491,chr1
BTBD19,0.247,chr1
EIF2B3,0.496,chr1
GPBP1L1,0.0952,chr1
NSUN4,0.0563,chr1
MKNK1-AS1,0.196,chr1
MKNK1,0.01015,chr1
MOB3C,0.334,chr1
STIL,0.158,chr1
CMPK1,0.0156,chr1
OSBPL9,0.886,chr1
LOC105378721,0.0115,chr1
NRDC,0.0331,chr1
MRPL37,0.451,chr1
USP24,0.923,chr1
ATG4C,0.354,chr1
RAVER2,0.816,chr1
DNAJC6,0.662,chr1
PHF13,0.193,chr1
THAP3,0.494,chr1
PDE4B,5.2e-05,chr1
GNG12-AS1,0.171,chr1
WLS,0.602,chr1
PTGER3,0.572,chr1
ZRANB2-AS1,0.324,chr1
IFFO2,0.21,chr1
PTGFR,0.38,chr1
DNAI3,0.87,chr1
MCOLN3,0.875,chr1
SH3GLB1,0.378,chr1
LINC01140,0.682,chr1
ENO1,0.172,chr1
GBP3,0.643,chr1
GPR157,0.0777,chr1
CDC7,0.124,chr1
BTBD8,0.0353,chr1
RPAP2,0.848,chr1
ARHGAP29,0,chr1
PIK3CD,0.355,chr1
SNX7,0.223,chr1
UBE4B,0.531,chr1
GPR88,0.001065,chr1
AMY2B,0.574,chr1
RNPC3,0.453,chr1
VAV3,0.697,chr1
STXBP3,0.374,chr1
AKNAD1,0.233,chr1
GPSM2,0.1047,chr1
WDR47,0.451,chr1
TMEM167B,0.578,chr1
SARS1,0.0553,chr1
PSRC1,0.359,chr1
SORT1,0.526,chr1
CYB561D1,0.0806,chr1
GNAI3,0.163,chr1
GSTM2,0.894,chr1
GSTM4,0.908,chr1
GSTM3,0.00102,chr1
GSTM5,0.951,chr1
KCNC4,0.65,chr1
LRIF1,0.0118,chr1
DRAM2,0.16,chr1
CEPT1,0.359,chr1
DENND2D,0.105,chr1
MTOR,0.0374,chr1
DDX20,0.361,chr1
AP4B1-AS1,0.0661,chr1
AP4B1,0.0286,chr1
DCLRE1B,0.284,chr1
VANGL1,0.687,chr1
ATP1A1-AS1,0.625,chr1
FBXO6,0.728,chr1
TTF2,0.147,chr1
AGTRAP,0.0878,chr1
NPPA-AS1,0.689,chr1
WARS2-AS1,0.581,chr1
NOTCH2,0.147,chr1
VWA1,0.668,chr1
ATAD3B,0.412,chr1
H2BC20P,0.323,chr1
MTMR11,0.872,chr1
OTUD7B,0.847,chr1
PRPF3,0.768,chr1
TARS2,0.1026,chr1
CDC42SE1,0.542,chr1
PSMB4,0.01053,chr1
POGZ,0.376,chr1
TDRKH,0.914,chr1
THEM4,0.0918,chr1
S100A4,2e-06,chr1
S100A3,1.4e-05,chr1
S100A1,0.0094,chr1
S100A13,0.00197,chr1
INTS3,0.618,chr1
GATAD2B,0.194,chr1
SLC39A1,0.0716,chr1
SSU72,0.163,chr1
UBE2Q1,0.0524,chr1
SHC1,0.655,chr1
THBS3-AS1,0.11,chr1
THBS3,0.0231,chr1
CASP9,0.27,chr1
RUSC1-AS1,0.738,chr1
DNAJC16,0.831,chr1
LMNA,0.362,chr1
SLC25A44,0.0964,chr1
PMF1-BGLAP,0.292,chr1
PMF1,0.284,chr1
PLEKHM2,0.0743,chr1
KIRREL1,0.000113333333333333,chr1
ZBTB17,0.476,chr1
DCAF8,0.0847,chr1
PEX19,0.0858,chr1
NIT1,0.834,chr1
DEDD,0.114,chr1
TOMM40L,0.733,chr1
EPHA2,0.202,chr1
SDHC,0.437,chr1
CFAP126,0.000222,chr1
ARHGEF19,0.885,chr1
FBXO42,0.878,chr1
DDR2,0.254,chr1
SZRD1,0.142,chr1
SPATA21,0.144,chr1
KIF14,0.571,chr1
DDX59,0.614,chr1
PHLDA3,0.209,chr1
CSRP1,0.659,chr1
ELF3,0.791,chr1
MYBPH,0.0264,chr1
CHI3L1,0,chr1
FMOD,0.675,chr1
ZC3H11A,0.604,chr1
MPZL1,0.0812,chr1
MPC2,0.73,chr1
TIPRL,0.0448,chr1
SELE,0.151,chr1
METTL13,0.962,chr1
LOC102724528,0.827,chr1
PIGC,0.924,chr1
C1orf105,0.915,chr1
SUCO,0.42,chr1
RASAL2,0.598,chr1
ANGPTL1,0.0375,chr1
RGS16,0.159,chr1
SMG7,0.0506,chr1
LOC102724830,0.813,chr1
TSEN15,0.821,chr1
TRMT1L,0.617,chr1
SWT1,0.614,chr1
RGS2,0.0356,chr1
SLC66A1,0.221,chr1
MICOS10,0.0628,chr1
DENND1B,0.319,chr1
OTUD3,0.462,chr1
KIF21B,0.341,chr1
TIMM17A,0.68,chr1
ATP2B4,0.0308,chr1
MUL1,0.384,chr1
CDK18,0.711,chr1
DYRK3,0.947,chr1
PFKFB2,0.479,chr1
C4BPA,0.248,chr1
CD55,0.0333,chr1
PLXNA2,0.162,chr1
CENPF,0.267,chr1
LDLRAD2,0.239,chr1
TGFB2,0.00017,chr1
TGFB2-OT1,0.0128,chr1
CELA3A,0,chr1
LINC01635,0,chr1
LINC00339,0,chr1
CDC42,0,chr1
C1orf115,0.1,chr1
MTARC2,0.749,chr1
TAF1A,0.375,chr1
MIA3,0.318,chr1
DISP1,0.291,chr1
GTF2IP20,0.703,chr1
FBXO28,0.322,chr1
LBR,0.0368,chr1
ENAH,0.727,chr1
SRP9,0.00291,chr1
ITPKB,0.904,chr1
ZNF678,0.0898,chr1
SNAP47,0.512,chr1
JMJD4,0.322,chr1
GALNT2,0.138,chr1
C1orf131,0.935,chr1
TSNAX-DISC1,0.192,chr1
TSNAX,0.0546,chr1
ASAP3,0.000905,chr1
NID1,0.0566,chr1
PEX10,0.1001,chr1
ZBTB18,0.739,chr1
DESI2,0.434,chr1
COX20,0.0704,chr1
FAM43B,0.0229,chr1
RCAN3AS,0.0111,chr1
RCAN3,0.0424,chr1
NCMAP-DT,0.381,chr1
TFB2M,0.472,chr1
SCCPDH,0.209,chr1
AHCTF1,0.0539,chr1
ZNF672,0.0112,chr1
ZNF692,0.186,chr1
PANK4,0.181,chr1
RSRP1,0.216,chr1
TMEM50A,0.026,chr1
TNFRSF14,0.42,chr1
PAQR7,0.812,chr1
PRXL2B,0.377,chr1
PAFAH2,0.292,chr1
HMGN2,0.0756,chr1
TMEM222,0.471,chr1
MAP3K6,0.686,chr1
STX12,0.699,chr1
PHACTR4,0.273,chr1
RCC1,0.879,chr1
SNHG3,0.793,chr1
PTPRU,0.109,chr1
PUM1,0.537,chr1
PTP4A2,0.794,chr1
TXLNA,0.00451,chr1
RBBP4,0.211,chr1
SYNC,0.399,chr1
KIAA1522,0.475,chr1
YARS1,0.0275,chr1
RNF19B,0.00328,chr1
AK2,0.233,chr1
GPR199P,0.246,chr1
ZMYM6,0.516,chr1
ZMYM4,0.561,chr1
LSM10,0.912,chr1
OSCP1,0.139,chr1
LOC107984942,0.393,chr1
ZC3H12A-DT,0.384,chr1
MEAF6,0.17,chr1
CEP104,0.34,chr1
LOC105378662,0.0914,chr1
LOC105378663,0.0951,chr1
MYCBP,0.0966,chr1
RRAGC,0.088,chr1
MACF1,0.413,chr1
COL9A2,0.297,chr1
ST3GAL3,0.508,chr1
KDM4A,0.863,chr1
DPH2,0.538,chr1
ATP6V0B,0.383,chr1
DMAP1,0.404,chr1
PLK3,0.438,chr1
CCDC163,0.0858,chr1
TMEM69,0.778,chr1
POMGNT1,0.01011,chr1
LURAP1,0.334,chr1
LRRC41,0.601,chr1
UQCRH,0.473,chr1
KTI12,0.454,chr1
TXNDC12,0.482,chr1
BTF3L4,0.00223,chr1
COA7,0.556,chr1
SCP2,0.573,chr1
OMA1,0.789,chr1
DAB1,0.807,chr1
LINC01135,0.607,chr1
LOC101926907,0.31,chr1
LINC02777,0.772,chr1
SLC35D1,0.44,chr1
LRRC40,0.0826,chr1
LRRC7,0.091,chr1
SRSF11,0.766,chr1
CRYZ,0.00259,chr1
USP33,0.935,chr1
UTS2,0.391,chr1
PARK7,0.294,chr1
ADGRL2,0.143,chr1
RERE,0.533,chr1
TTLL7,0.0617,chr1
LMO4,0.627,chr1
PKN2,0.0634,chr1
KYAT3,0.0043,chr1
RBMXL1,0.041,chr1
GBP2,0.0164,chr1
ZNF644,0.19,chr1
MTF2,0.533,chr1
CCDC18,0.276,chr1
CCDC18-AS1,0.335,chr1
DR1,0.0186,chr1
BCAR3,0.148,chr1
GCLM,0.819,chr1
ABCD3,0.416,chr1
CLSTN1,0.937,chr1
PALMD,0.0474,chr1
GPATCH2,0.687,chr1
CDC42-AS1,0.502,chr1
CLCC1,0.207,chr1
LAMTOR5-AS1,0.523,chr1
LAMTOR5,0.542,chr1
PHTF1,0.697,chr1
BCAS2,0.155,chr1
NRAS,0.151,chr1
SEC22B,0.544,chr1
MIIP,0.352,chr1
SDF4,0.0875,chr1
NBPF12,0.139,chr1
PDIA3P1,0.0289,chr1
SV2A,0.688,chr1
MINDY1,0.0263,chr1
SELENBP1,0.311,chr1
CHTOP,0.185,chr1
ATP8B2,0.681,chr1
PBXIP1,0.174,chr1
ZBTB7B,0.557,chr1
MUC1,0.704,chr1
MEF2D,0.214,chr1
DDI2,0.000178333333333333,chr1
ISG20L2,0.459,chr1
HDGF,0.884,chr1
TAGLN2,0.00396,chr1
COPA,0.74,chr1
PPOX,0.0468,chr1
B4GALT3,0.0433,chr1
DUSP12,0.648,chr1
SLC35E2B,0.361,chr1
SLC19A2,0.804,chr1
RC3H1,0.0292,chr1
CACYBP,0.382,chr1
RNASEL,0.507,chr1
TMEM63A,0.988,chr1
PARP1,0.495,chr1
ALDH4A1,0.244,chr1
CAPZB,0.249,chr1
KLHL12,0.241,chr1
PPFIA4,0.501,chr1
TMCC2,0.333,chr1
LOC107984109,0.994,chr1
YOD1,0.993,chr1
SERTAD4,0.357,chr1
RCOR3,0.817,chr1
NEK2,0.176,chr1
ATF3,0.349,chr1
KCTD3,0.358,chr1
BPNT1,0.227,chr1
EGLN1,0.101,chr1
LOC105373170,0.511,chr1
DISC2,0.48,chr1
SIPA1L2,0.743,chr1
TCEA3,0.481,chr1
LYST,0.0689,chr1
LGALS8,0.525,chr1
ADSS2,0.394,chr1
MACO1,0.134,chr1
MTFR1L,0.545,chr1
SELENON,0.525,chr1
LOC646471,0.414,chr1
EXTL1,0.705,chr1
SLC9A1,0.1,chr1
RPA2,0.846,chr1
EYA3,0.0373,chr1
SERINC2,0.341,chr1
SNIP1,0.144,chr1
DNALI1,0.162,chr1
INPP5B,0.894,chr1
SF3A3,0.666,chr1
AKIRIN1,0.565,chr1
ZMPSTE24,0.314,chr1
FOXJ3,0.604,chr1
PPCS,0.879,chr1
ZNF691,0.946,chr1
SLC2A1,0.0893,chr1
CDKN2C,0.652,chr1
TUT4,0.0167,chr1
NPHP4,0.659,chr1
SERBP1,0.00195,chr1
IFI44,0.779,chr1
LRRC8D,0.841,chr1
LRRC8C,0.844,chr1
ZNF326,0.882,chr1
EVI5,0.93,chr1
DIPK1A,0.68,chr1
RPL5,0.715,chr1
PTBP2,0.944,chr1
AMIGO1,0.4,chr1
KIAA2013,0.673,chr1
ARID4B,0.359,chr1
TBCE,0.992,chr1
GGPS1,0.99,chr1
MSTO1,0.753,chr1
RSC1A1,0.0487,chr1
IGSF8,0.601,chr1
FCER1G,0.438,chr1
CPLANE2,0.775,chr1
KLHL20,0.627,chr1
DARS2,0.0495,chr1
ZBTB37,0.523,chr1
MORN1,0.51,chr1
FUCA1,0.784,chr1
SASS6,0.905,chr1
DBT,0.253,chr1
CNST,0.57,chr1
TRNAU1AP,0.213,chr1
RAB42,0.544,chr1
TAF12,0.515,chr1
EPB41,0.222,chr1
LAPTM5,0.352,chr1
STK40,0.473,chr1
ZFP69B,0.259,chr1
C1orf50,0.455,chr1
ERI3,0.67,chr1
FAAH,0.876,chr1
TRABD2B,0.901,chr1
MIER1,0.278,chr1
NEGR1,0.798,chr1
IFI44L,0.574,chr1
MIR34AHG,0.421,chr1
LINC02593,0.847,chr1
LOC102606465,0.469,chr1
ANGPTL7,0.823,chr1
MAGI3,0.751,chr1
FBXO2,0.0573,chr1
IGSF3,0.00158,chr1
MFN2,0.566,chr1
MRPL20-AS1,0.295,chr1
MRPL20,0.0107,chr1
NBPF11,0.693,chr1
LOC105371225,0.892,chr1
PDE4DIPP6,0.315,chr1
LINC01138,0.843,chr1
APH1A,0.492,chr1
C1orf54,0.626,chr1
OAZ3,0.0758,chr1
MRPL9,0.0784,chr1
LAMTOR2,0.0842,chr1
DUSP23,0.427,chr1
NME7,0.1,chr1
CRYZL2P,0.124,chr1
PLA2G4A,0.4,chr1
BTG2,0.898,chr1
MAPKAPK2,0.115,chr1
