chr,pos,gene_symbol,gene_start,gene_end,gene_strand,ENTREZID
chr10,28620676,WAC,28532493,28623112,+,51322
chr17,30783634,CRLF3,30772363,30824692,-,51379
chr6,116571518,RWDD1,116571409,116597675,+,51389
chr19,12679692,WDR83OS,12668071,12681834,-,51398
chr6,157873152,SNX9,157700387,157945077,+,51429
chr6,157943950,SNX9,157700387,157945077,+,51429
chr3,48694054,IP6K2,48688003,48740353,-,51447
chr2,188595346,GULP1,188291669,188595931,+,51454
chr1,147943471,GPR89B,147928393,147993592,+,51463
chr4,54281602,PDGFRA,53377839,54298245,+,5156
chr11,83165684,PCF11,83156988,83187451,+,51585
chr22,20585113,MED15,20495913,20587632,+,51586
chr5,150115421,PDGFRB,150113839,150155872,-,5159
chr5,150135834,PDGFRB,150113839,150155872,-,5159
chr2,238447385,ASB1,238426742,238452250,+,51665
chr16,2601436,PDPK1,2537979,2603188,+,5170
chr11,17097140,PIK3C2A,17077730,17207983,-,5286
chr16,8853407,PMM2,8788823,8862124,+,5373
chr17,15229806,PMP22,15229773,15272292,-,5376
chr2,200871389,PPIL3,200870907,200889303,-,53938
chr7,102473643,POLR2J,102473118,102478907,-,5439
chr18,68676335,TMX3,68673688,68715108,-,54495
chr18,68676890,TMX3,68673688,68715108,-,54495
chr4,119239533,USP53,119212587,119295517,+,54532
chr15,58857557,MINDY2,58771192,58861900,+,54629
chr18,49097513,DYM,49036387,49461347,-,54808
chr15,34980498,ZNF770,34978341,34988287,-,54989
chr20,62945340,GID8,62938147,62948475,+,54994
chr17,73236851,C17orf80,73232233,73248959,+,55028
chr3,100558497,TMEM45A,100492619,100577444,+,55076
chr3,100577254,TMEM45A,100492619,100577444,+,55076
chr13,106558072,ARGLU1,106541673,106568137,-,55082
chr1,178865096,RALGPS2,178725147,178921841,+,55103
chr3,43576788,ANO10,43365848,43691594,-,55129
chr1,25499100,MACO1,25430858,25500209,+,55219
chr4,37850235,PGM2,37826660,37862937,+,55276
chr11,27368941,LGR4,27365961,27472790,-,55366
chr2,71071208,NAGK,71068278,71079808,+,55577
chr19,39398404,MED29,39391303,39400641,+,55588
chr12,95300167,VEZT,95217746,95302799,+,55591
chr2,32640367,TTC27,32628032,32821051,+,55622
chr8,47807283,PRKDC,47773111,47960178,-,5591
chr20,47786057,SULF2,47656912,47786616,-,55959
chr16,23570957,UBFD1,23557721,23574389,+,56061
chr7,139046942,ZC3HAV1,139043515,139132122,-,56829
chr6,142367905,ADGRG6,142301854,142446266,+,57211
chr14,52470537,TXNDC16,52430596,52552522,-,57544
chr4,185162559,CFAP97,185159665,185209504,-,57587
chr9,8492902,PTPRD,8314246,10613002,-,5789
chr14,74289181,ABCD4,74285269,74303055,-,5826
chr14,74292826,ABCD4,74285269,74303055,-,5826
chr14,74294772,ABCD4,74285269,74303055,-,5826
chr14,74296361,ABCD4,74285269,74303055,-,5826
chr14,74296383,ABCD4,74285269,74303055,-,5826
chr4,39304884,RFC1,39287456,39366375,-,5981
chr18,49491828,RPL17,49488453,49492508,-,6139
chr19,55388764,RPL28,55385932,55403250,+,6158
chr2,101004304,RPL31,101002229,101024032,+,6160
chr5,82275990,RPS23,82273320,82278396,-,6228
chr10,78039161,RPS24,78033760,78056813,+,6229
chr10,16592544,RSU1,16590611,16817463,-,6251
chr11,6681188,MRPL17,6680385,6683340,-,63875
chr11,6681753,MRPL17,6680385,6683340,-,63875
chr11,59144870,FAM111A,59142748,59155039,+,63901
chr11,59153928,FAM111A,59142748,59155039,+,63901
chr22,46712292,CERK,46684410,46738252,-,64781
chr2,159770903,MARCHF7,159712457,159771027,+,64844
chr19,10994932,SMARCA4,10960932,11079426,+,6597
chr14,61762567,SNAPC1,61734138,61796428,+,6617
chr20,2465723,SNRPB,2461634,2470853,-,6628
chr6,56650989,DST,56457987,56954830,-,667
chr11,57332187,SSRP1,57325986,57335892,-,6749
chr3,15690029,BTD,15601341,15722311,+,686
chr4,186069191,TLR3,186069155,186088073,+,7098
chr4,186069239,TLR3,186069155,186088073,+,7098
chr9,117715853,TLR4,117704175,118072314,+,7099
chr22,37018427,TST,37010859,37020183,-,7263
chr1,54731647,TTC4,54715861,54742657,+,7268
chr5,1579400,SDHAP3,1567495,1594620,-,728609
chr11,10878720,ZBED5-AS1,10858179,10908972,+,729013
chr4,151662685,FHIP1A,151409176,151670503,+,729830
chr7,48090342,UPP1,48088628,48108736,+,7378
chr4,6302742,WFS1,6245563,6303265,+,7466
chr7,100034677,ZKSCAN1,100015572,100041689,+,7586
chr16,3317229,ZNF75A,3305406,3318852,+,7627
chr19,51573228,ZNF175,51571283,51592510,+,7728
chr11,78112686,ALG8,78095244,78139660,-,79053
chr22,49925431,CRELD2,49918167,49927540,+,79174
chr22,49925522,CRELD2,49918167,49927540,+,79174
chr11,78568698,NARS2,78435968,78574874,-,79731
chr2,236507415,IQCA1,236324147,236507535,-,79781
chr17,742021,TLCD3A,732412,742968,+,79850
chr1,224388172,WDR26,224385146,224437033,-,80232
chr17,47975517,CDK5RAP3,47945424,47981781,+,80279
chr4,17624646,MED28,17614641,17634105,+,80306
chr2,227699166,SLC19A3,227683763,227718028,-,80704
chr10,7616021,ITIH5,7559270,7666998,-,80760
chr12,6748123,MLF2,6747996,6767475,-,8079
chr11,58619324,ZFP91,58579063,58621550,+,80829
chr5,144159052,YIPF5,144158162,144170714,-,81555
chr10,101032443,SFXN3,101031234,101041244,+,81855
chr5,82275990,ATG10,81972023,82276857,+,83734
chr6,158974990,RSPH3,158972871,159000202,-,83861
chr7,75994575,TMEM120A,75986831,75994656,-,83862
chr19,16518039,C19orf44,16496394,16521352,+,84167
chr4,83598675,GPAT3,83535914,83605875,+,84803
chr6,143860482,LTV1,143843338,143863812,+,84946
chr18,23297473,TMEM241,23197755,23437961,-,85019
chr20,38228214,KIAA1755,38210503,38260772,-,85449
chr3,88054526,CGGBP1,88051944,88149885,-,8545
chr11,57303964,TNKS1BP1,57299638,57324952,-,85456
chr11,57307183,TNKS1BP1,57299638,57324952,-,85456
chr8,23137489,TNFRSF10D,23135588,23164027,-,8793
chr13,49997165,DLEU2,49956733,50125720,-,8847
chr10,102107634,LDB1,102106489,102120368,-,8861
chr3,179784218,USP13,179604807,179804366,+,8975
chr22,26466075,HPS4,26443423,26483837,-,89781
chr1,178865096,ANGPTL1,178849535,178871077,-,9068
chr5,38919517,OSMR,38845858,38945596,+,9180
chr4,38945137,FAM114A1,38867677,38945739,+,92689
chr11,62855579,SNORD25,62855564,62855632,-,9303
chr5,154875933,CNOT8,154857553,154876792,+,9337
chr19,16518039,MED26,16479067,16629062,-,9441
chr10,72012026,CHST3,71964395,72013558,+,9469
chr17,47531519,NPEPPS,47522942,47624665,+,9520
chr20,46122724,CD40,46118278,46129863,+,958
chr11,33705198,CD59,33698261,33736479,-,966
chr18,2917370,LPIN2,2916994,3013144,-,9663
chr3,108616657,DZIP3,108589705,108694840,+,9666
chr16,56943662,HERPUD1,56932142,56944864,+,9709
chr16,88717846,PIEZO1,88715338,88785220,-,9780
chr1,179074804,FAM20B,179025804,179076567,+,9917
chr2,159770903,CD302,159768628,159798255,-,9936
