chr,pos,gene_symbol,gene_start,gene_end,gene_strand,ENTREZID,0
chr5,95819336,GLRX,95751319,95822726,-,2745,['rs10213972']
chr16,58718562,GOT2,58707131,58734342,-,2806,['rs11076256']
chr10,27674616,MKX,27672874,27746060,-,283078,['rs74129333']
chr11,74334359,PGM2L1,74330316,74398433,-,283209,['rs73552504']
chr13,49997165,KCNRG,49996813,50020922,+,283518,['rs28411370']
chr19,52065169,ZNF841,52048810,52095765,-,284371,['rs61743893']
chr3,56615254,CCDC66,56557161,56621837,+,285331,['rs6807338']
chr4,186212279,CYP4V2,186191567,186213463,+,285440,['rs72646300']
chr5,172422467,SH3PXD2B,172325000,172454525,-,285590,['rs17074773']
chr16,67228872,TMEM208,67227103,67229278,+,29100,['rs1140380']
chr1,225920396,PYCR2,225919877,225924340,-,29920,['rs56035614']
chr3,38126634,ACAA1,38122710,38137242,-,30,['rs61095322']
chr1,196741787,CFH,196652043,196747504,+,3075,['rs385543']
chr6,142751736,HIVEP2,142751469,142946365,-,3097,['rs76734824']
chr18,5241171,LINC00667,5237844,5290608,+,339290,['rs8091750']
chr18,5242054,LINC00667,5237844,5290608,+,339290,['rs4429380']
chr15,32768387,FMN1,32765544,33194714,-,342184,['rs28574716']
chr10,89340500,IFIT3,89327307,89377473,+,3437,['rs12256980']
chr10,89340874,IFIT3,89327307,89377473,+,3437,['rs17119672']
chr11,2132381,IGF2,2129112,2149603,-,3481,['rs74050124']
chr3,196567230,WDR53,196554177,196568674,-,348793,['rs55696386']
chr13,110720333,ING1,110712736,110723339,+,3621,['rs74125084']
chr17,47312531,ITGB3,47253827,47344292,+,3690,['rs58365772']
chr17,47313083,ITGB3,47253827,47344292,+,3690,['rs140661797']
chr7,20410801,ITGB8,20330702,20415754,+,3696,['rs17456391']
chr4,186212279,KLKB1,186208979,186258471,+,3818,['rs72646300']
chr19,53441906,ZNF761,53431984,53461862,+,388561,['rs141373713']
chr19,53442182,ZNF761,53431984,53461862,+,388561,['rs143639299']
chr14,55132463,LGALS3,55124110,55145423,+,3958,['rs78733901' 'rs1163141921']
chr1,236542978,LGALS8,236518000,236552981,+,3964,['rs2273863']
chr1,236543000,LGALS8,236518000,236552981,+,3964,['rs2273865']
chr10,89340500,LIPA,89213569,89414557,-,3988,['rs12256980']
chr10,89340874,LIPA,89213569,89414557,-,3988,['rs17119672']
chr18,59359129,LMAN1,59327823,59359265,-,3998,['rs33926449']
chr18,59359204,LMAN1,59327823,59359265,-,3998,['rs1043302']
chr5,97035394,LNPEP,96935394,97037513,+,4012,['rs76563759' 'rs1260121590']
chr9,112838547,SNX30,112750760,112874987,+,401548,['rs41280189']
chr4,3514833,LRPAP1,3503612,3532446,-,4043,['rs11549512']
chr3,47850893,MAP4,47850690,48089272,-,4134,['rs77720320']
chr3,47916506,MAP4,47850690,48089272,-,4134,['rs2230169']
chr10,73250379,DNAJC9-AS1,73247360,73276984,+,414245,['rs12249492']
chr2,135866585,MCM6,135839626,135876443,-,4175,['rs2070068']
chr11,118409221,KMT2A,118401607,118526832,+,4297,['rs3194726']
chr17,30783634,SUZ12P1,30709299,30790908,+,440423,['rs12006' 'rs1971556419']
chr17,64800078,PLEKHM1P1,64779259,64837154,-,440456,['rs140145794']
chr16,56666810,MT1G,56666730,56668065,-,4495,['rs12315' 'rs1960782799']
chr6,3010064,NQO2,2987987,3019755,+,4835,['rs28383623']
chr6,3018285,NQO2,2987987,3019755,+,4835,['rs28383648']
chr6,3018500,NQO2,2987987,3019755,+,4835,['rs78820491']
chr6,3018703,NQO2,2987987,3019755,+,4835,['rs73718923']
chr10,72215835,ASCC1,72096032,72217134,-,51008,['rs12218638']
chr10,73250379,MRPS16,73248843,73252693,-,51021,['rs12249492']
chr17,760232,GLOD4,759097,783390,-,51031,['rs77166377']
chr8,23573679,SLC25A37,23528956,23575463,+,51312,['rs10104250']
chr8,23574292,SLC25A37,23528956,23575463,+,51312,['rs11779396']
chr10,28620676,WAC,28532493,28623112,+,51322,['rs78327869']
chr17,30783634,CRLF3,30772363,30824692,-,51379,['rs12006' 'rs1971556419']
chr19,12679692,WDR83OS,12668071,12681834,-,51398,['rs10425108']
chr6,157873152,SNX9,157700387,157945077,+,51429,['rs9355424']
chr6,157943950,SNX9,157700387,157945077,+,51429,['rs9365617' 'rs1435052325']
chr3,48694054,IP6K2,48688003,48740353,-,51447,['rs3172494']
chr2,188595346,GULP1,188291669,188595931,+,51454,['rs74877733']
chr1,147943471,GPR89B,147928393,147993592,+,51463,['rs142935665']
chr4,54281602,PDGFRA,53377839,54298245,+,5156,['rs2291591']
chr5,150115421,PDGFRB,150113839,150155872,-,5159,['rs6887454']
chr2,238447385,ASB1,238426742,238452250,+,51665,['rs2340870']
chr16,2601436,PDPK1,2537979,2603188,+,5170,['rs112703875']
chr11,7667798,CYB5R2,7665100,7677222,-,51700,['rs61733057']
chr11,7669642,CYB5R2,7665100,7677222,-,51700,['rs61733056' 'rs1855601318']
chr5,126608439,PHAX,126600925,126627252,+,51808,['rs61747690']
chr16,8853407,PMM2,8788823,8862124,+,5373,['rs14124']
chr19,40779010,RAB4B,40778247,40796942,+,53916,['rs2262082' 'rs2083022614']
chr2,200871389,PPIL3,200870907,200889303,-,53938,['rs11892119']
chr7,102473643,POLR2J,102473118,102478907,-,5439,['rs1131359']
chr20,19956668,RIN2,19757606,20002457,+,54453,['rs142502440']
chr12,121778986,RHOF,121777754,121800677,-,54509,['rs3741588' 'rs1874340974']
chr12,121779030,RHOF,121777754,121800677,-,54509,['rs12312375']
chr4,119239533,USP53,119212587,119295517,+,54532,['rs75896930']
chr18,49097513,DYM,49036387,49461347,-,54808,['rs60818038' 'rs1382334213']
chr7,93105670,SAMD9,93099513,93118023,-,54809,['rs6969691']
chr4,523587,PIGG,499210,540200,+,54872,['rs7666226']
chr15,34980498,ZNF770,34978341,34988287,-,54989,['rs78622375']
chr17,73236851,C17orf80,73232233,73248959,+,55028,['rs61729639']
chr3,100577254,TMEM45A,100492619,100577444,+,55076,['rs74776680']
chr4,37850235,PGM2,37826660,37862937,+,55276,['rs10001580']
chr8,73792915,UBE2W,73688691,73878910,-,55284,['rs16938730']
chr14,69460801,SLC39A9,69398015,69462390,+,55334,['rs73275024']
chr11,27367417,LGR4,27365961,27472790,-,55366,['rs78012534']
chr11,27368941,LGR4,27365961,27472790,-,55366,['rs35947785']
chr2,37252289,NDUFAF7,37231631,37253403,+,55471,['rs28698067']
chr19,39398404,MED29,39391303,39400641,+,55588,['rs10423565']
chr12,95300167,VEZT,95217746,95302799,+,55591,['rs17344738']
chr7,43623585,COA1,43608456,43729717,-,55744,['rs2230753']
chr19,52583701,ZNF701,52570273,52597345,+,55762,['rs62117249' 'rs1179571919']
chr7,107160571,PRKAR2B,107044705,107161811,+,5577,['rs1804175']
chr19,41259670,AXL,41219223,41261766,+,558,['rs61737386']
chr20,47786057,SULF2,47656912,47786616,-,55959,['rs11698443']
chr16,23570957,UBFD1,23557721,23574389,+,56061,['rs541504918' 'rs1221896942']
chr17,18865557,PRPSAP2,18840085,18931287,+,5636,['rs2305061']
chr7,139046942,ZC3HAV1,139043515,139132122,-,56829,['rs78528497']
chr1,156036539,UBQLN4,156035299,156053798,-,56893,['rs11548488']
chr1,109095917,TMEM167B,109090764,109096934,+,56900,['rs142399742']
chr2,231163682,PSMD1,231056845,231173116,+,5707,['rs35852025']
chr6,142367905,ADGRG6,142301854,142446266,+,57211,['rs75679810']
chr1,3781136,LRRC47,3778559,3796498,-,57470,['rs6694319']
chr10,24596856,ARHGAP21,24583609,24723887,-,57584,['rs111419738']
chr3,39065870,WDR48,39052013,39096671,+,57599,['rs9840872']
chr2,201761714,ALS2,201700267,201782112,-,57679,['rs3219154']
chr14,74289181,ABCD4,74285269,74303055,-,5826,['rs114317891']
chr14,74292826,ABCD4,74285269,74303055,-,5826,['rs1052000']
chr14,74294772,ABCD4,74285269,74303055,-,5826,['rs59461095']
chr14,74296383,ABCD4,74285269,74303055,-,5826,['rs36031534']
chr3,179399804,GNB4,179396088,179451476,-,59345,['rs13317510']
chr4,39304884,RFC1,39287456,39366375,-,5981,['rs2066792']
chr18,49491828,RPL17,49488453,49492508,-,6139,['rs17712375']
chr2,101004304,RPL31,101002229,101024032,+,6160,['rs13420285']
chr5,82275990,RPS23,82273320,82278396,-,6228,['rs148943823']
chr20,17621926,RRBP1,17613678,17682295,-,6238,['rs2229886']
chr10,16592544,RSU1,16590611,16817463,-,6251,['rs57515965']
chr1,53050711,SCP2,52927276,53051698,+,6342,['rs10888761']
chr11,6681188,MRPL17,6680385,6683340,-,63875,['rs12291868']
chr8,19364153,SH2D4A,19313693,19396218,+,63898,['rs877386']
chr11,59144870,FAM111A,59142748,59155039,+,63901,['rs78402125']
chr1,35184369,SFPQ,35176378,35193145,-,6421,['rs72908970' 'rs1639613425']
chr14,61762567,SNAPC1,61734138,61796428,+,6617,['rs74810099']
chr20,45078804,STK4,44966479,45080021,+,6789,['rs75732429']
chr4,186069191,TLR3,186069155,186088073,+,7098,['rs5743309']
chr4,186069239,TLR3,186069155,186088073,+,7098,['rs5743310']
chr12,7066109,C1S,6988259,7071032,+,716,['rs73266749']
chr22,37018427,TST,37010859,37020183,-,7263,['rs35156365']
chr17,41990284,DNAJC7,41976421,42021376,-,7266,['rs1127182']
chr1,54731647,TTC4,54715861,54742657,+,7268,['rs1062700']
chr1,54741865,TTC4,54715861,54742657,+,7268,['rs17131750']
chr11,10878720,ZBED5-AS1,10858179,10908972,+,729013,['rs72858373']
chr4,102794878,UBE2D3,102794383,102868896,-,7323,['rs76632570']
chr7,48090342,UPP1,48088628,48108736,+,7378,['rs6947955']
chr16,3317229,ZNF75A,3305406,3318852,+,7627,['rs17611866']
chr19,51573228,ZNF175,51571283,51592510,+,7728,['rs2305371']
chr11,78112686,ALG8,78095244,78139660,-,79053,['rs61995924']
chr17,42111382,DHX58,42101404,42112714,-,79132,['rs35118457']
chr15,82151483,EFL1,82130233,82262734,-,79631,['rs78664413']
chr11,103117775,DYNC2H1,103109410,103479863,+,79659,['rs12146610']
chr11,119174722,NLRX1,119166568,119184016,+,79671,['rs75827485']
chr14,75109817,ZC2HC1C,75064109,75119502,+,79696,['rs8005071']
chr2,236507415,IQCA1,236324147,236507535,-,79781,['rs76804064']
chr8,41940899,KAT6A,41929479,42051994,-,7994,['rs3824275']
chr2,227699166,SLC19A3,227683763,227718028,-,80704,['rs74693100']
chr10,7616021,ITIH5,7559270,7666998,-,80760,['rs35566317']
chr8,140450819,TRAPPC9,139727725,140458579,-,83696,['rs57593250']
chr5,82275990,ATG10,81972023,82276857,+,83734,['rs148943823']
chr7,75994575,TMEM120A,75986831,75994656,-,83862,['rs114462308']
chr19,16518039,C19orf44,16496394,16521352,+,84167,['rs17029']
chr9,37357968,ZCCHC7,37120574,37358149,+,84186,['rs59347416']
chr22,26526262,TPST2,26521996,26596717,-,8459,['rs4149485']
chr4,83598675,GPAT3,83535914,83605875,+,84803,['rs62303973']
chr1,163147088,RGS5,163111121,163321894,-,8490,['rs15049']
chr6,143860482,LTV1,143843338,143863812,+,84946,['rs7454959']
chr11,7653272,PPFIBP2,7513298,7657127,+,8495,['rs116152878']
chr3,88054526,CGGBP1,88051944,88149885,-,8545,['rs76522081']
chr21,34798046,RUNX1,34787801,35049344,-,861,['rs61228643']
chr8,23137489,TNFRSF10D,23135588,23164027,-,8793,['rs74738867']
chr13,49997165,DLEU2,49956733,50125720,-,8847,['rs28411370']
chr3,179784218,USP13,179604807,179804366,+,8975,['rs75011052']
chr22,26466075,HPS4,26443423,26483837,-,89781,['rs3747129']
chr10,110589664,SMC3,110567695,110606048,+,9126,['rs75323904']
chr14,75109817,NEK9,75079353,75127344,-,91754,['rs8005071']
chr5,38919517,OSMR,38845858,38945596,+,9180,['rs610912']
chr15,65659979,SLC24A1,65611366,65660995,+,9187,['rs8030336']
chr7,43623585,STK17A,43582758,43650713,+,9263,['rs2230753']
chr4,38945137,FAM114A1,38867677,38945739,+,92689,['rs79358940']
chr16,89739386,ZNF276,89720400,89740925,+,92822,['rs9282682']
chr2,130347416,IMP4,130342877,130347967,+,92856,['rs6748595']
chr11,62855579,SNORD25,62855564,62855632,-,9303,['rs1059292']
chr5,154875933,CNOT8,154857553,154876792,+,9337,['rs2544872']
chr10,31807076,ARHGAP12,31805398,31928876,-,94134,['rs10826997']
chr19,16518039,MED26,16479067,16629062,-,9441,['rs17029']
chr19,14564260,TECR,14517085,14565980,+,9524,['rs76484116']
chr1,147178733,CHD1L,147172744,147295765,+,9557,['rs72708527']
chr20,46122724,CD40,46118278,46129863,+,958,['rs11569321']
chr11,35201134,CD44,35138882,35232402,+,960,['rs35356320']
chr11,33705198,CD59,33698261,33736479,-,966,['rs113743057']
chr18,2917370,LPIN2,2916994,3013144,-,9663,['rs202079191']
chr1,225845227,TMEM63A,225840883,225882380,-,9725,['rs4149229']
chr16,88717846,PIEZO1,88715338,88785220,-,9780,['rs11866817']
